id,lat,long,id_2,lat_2,long_2,id_total
"0","44.9447288600","-122.0107700000","82","46.0301211400","-118.5919460000","082"
"0","44.9447288600","-122.0107700000","77","42.0997822800","-120.5822510000","077"
"0","44.9447288600","-122.0107700000","76","42.8287230400","-121.0918240000","076"
"0","44.9447288600","-122.0107700000","16","46.2628318100","-120.3687730000","016"
"0","44.9447288600","-122.0107700000","15","45.8918119500","-120.4587170000","015"
"0","44.9447288600","-122.0107700000","13","47.0554651700","-119.0617710000","013"
"0","44.9447288600","-122.0107700000","12","46.7519034600","-118.3084880000","012"
"0","44.9447288600","-122.0107700000","6","45.6964643600","-116.5334950000","06"
"0","44.9447288600","-122.0107700000","4","45.2157732700","-119.2046090000","04"
"0","44.9447288600","-122.0107700000","3","45.6572601200","-118.7926950000","03"
"0","44.9447288600","-122.0107700000","1","44.3334596900","-121.1333410000","01"
"0","44.9447288600","-122.0107700000","0","44.9447288600","-122.0107700000","00"
"1","44.3334596900","-121.1333410000","82","46.0301211400","-118.5919460000","182"
"1","44.3334596900","-121.1333410000","77","42.0997822800","-120.5822510000","177"
"1","44.3334596900","-121.1333410000","76","42.8287230400","-121.0918240000","176"
"1","44.3334596900","-121.1333410000","16","46.2628318100","-120.3687730000","116"
"1","44.3334596900","-121.1333410000","15","45.8918119500","-120.4587170000","115"
"1","44.3334596900","-121.1333410000","13","47.0554651700","-119.0617710000","113"
"1","44.3334596900","-121.1333410000","12","46.7519034600","-118.3084880000","112"
"1","44.3334596900","-121.1333410000","6","45.6964643600","-116.5334950000","16"
"1","44.3334596900","-121.1333410000","4","45.2157732700","-119.2046090000","14"
"1","44.3334596900","-121.1333410000","3","45.6572601200","-118.7926950000","13"
"1","44.3334596900","-121.1333410000","1","44.3334596900","-121.1333410000","11"
"1","44.3334596900","-121.1333410000","0","44.9447288600","-122.0107700000","10"
"2","43.9384451400","-122.5866570000","91","44.6607098300","-122.7527470000","291"
"2","43.9384451400","-122.5866570000","64","43.4479799100","-123.2398000000","264"
"2","43.9384451400","-122.5866570000","63","44.0946577600","-123.1621080000","263"
"2","43.9384451400","-122.5866570000","62","44.4214243000","-123.1072660000","262"
"2","43.9384451400","-122.5866570000","61","44.6979190700","-123.2877870000","261"
"2","43.9384451400","-122.5866570000","55","45.0658170700","-123.2375150000","255"
"2","43.9384451400","-122.5866570000","54","45.2806146600","-123.2992120000","254"
"2","43.9384451400","-122.5866570000","53","44.8167432700","-122.7325120000","253"
"2","43.9384451400","-122.5866570000","2","43.9384451400","-122.5866570000","22"
"3","45.6572601200","-118.7926950000","82","46.0301211400","-118.5919460000","382"
"3","45.6572601200","-118.7926950000","77","42.0997822800","-120.5822510000","377"
"3","45.6572601200","-118.7926950000","76","42.8287230400","-121.0918240000","376"
"3","45.6572601200","-118.7926950000","16","46.2628318100","-120.3687730000","316"
"3","45.6572601200","-118.7926950000","15","45.8918119500","-120.4587170000","315"
"3","45.6572601200","-118.7926950000","13","47.0554651700","-119.0617710000","313"
"3","45.6572601200","-118.7926950000","12","46.7519034600","-118.3084880000","312"
"3","45.6572601200","-118.7926950000","6","45.6964643600","-116.5334950000","36"
"3","45.6572601200","-118.7926950000","4","45.2157732700","-119.2046090000","34"
"3","45.6572601200","-118.7926950000","3","45.6572601200","-118.7926950000","33"
"3","45.6572601200","-118.7926950000","1","44.3334596900","-121.1333410000","31"
"3","45.6572601200","-118.7926950000","0","44.9447288600","-122.0107700000","30"
"4","45.2157732700","-119.2046090000","82","46.0301211400","-118.5919460000","482"
"4","45.2157732700","-119.2046090000","77","42.0997822800","-120.5822510000","477"
"4","45.2157732700","-119.2046090000","76","42.8287230400","-121.0918240000","476"
"4","45.2157732700","-119.2046090000","16","46.2628318100","-120.3687730000","416"
"4","45.2157732700","-119.2046090000","15","45.8918119500","-120.4587170000","415"
"4","45.2157732700","-119.2046090000","13","47.0554651700","-119.0617710000","413"
"4","45.2157732700","-119.2046090000","12","46.7519034600","-118.3084880000","412"
"4","45.2157732700","-119.2046090000","6","45.6964643600","-116.5334950000","46"
"4","45.2157732700","-119.2046090000","4","45.2157732700","-119.2046090000","44"
"4","45.2157732700","-119.2046090000","3","45.6572601200","-118.7926950000","43"
"4","45.2157732700","-119.2046090000","1","44.3334596900","-121.1333410000","41"
"4","45.2157732700","-119.2046090000","0","44.9447288600","-122.0107700000","40"
"5","43.2512624100","-118.1948920000","8","42.4901234600","-112.4263550000","58"
"5","43.2512624100","-118.1948920000","7","44.5711347500","-112.0762670000","57"
"5","43.2512624100","-118.1948920000","5","43.2512624100","-118.1948920000","55"
"6","45.6964643600","-116.5334950000","82","46.0301211400","-118.5919460000","682"
"6","45.6964643600","-116.5334950000","77","42.0997822800","-120.5822510000","677"
"6","45.6964643600","-116.5334950000","76","42.8287230400","-121.0918240000","676"
"6","45.6964643600","-116.5334950000","16","46.2628318100","-120.3687730000","616"
"6","45.6964643600","-116.5334950000","15","45.8918119500","-120.4587170000","615"
"6","45.6964643600","-116.5334950000","13","47.0554651700","-119.0617710000","613"
"6","45.6964643600","-116.5334950000","12","46.7519034600","-118.3084880000","612"
"6","45.6964643600","-116.5334950000","6","45.6964643600","-116.5334950000","66"
"6","45.6964643600","-116.5334950000","4","45.2157732700","-119.2046090000","64"
"6","45.6964643600","-116.5334950000","3","45.6572601200","-118.7926950000","63"
"6","45.6964643600","-116.5334950000","1","44.3334596900","-121.1333410000","61"
"6","45.6964643600","-116.5334950000","0","44.9447288600","-122.0107700000","60"
"7","44.5711347500","-112.0762670000","8","42.4901234600","-112.4263550000","78"
"7","44.5711347500","-112.0762670000","7","44.5711347500","-112.0762670000","77"
"7","44.5711347500","-112.0762670000","5","43.2512624100","-118.1948920000","75"
"8","42.4901234600","-112.4263550000","8","42.4901234600","-112.4263550000","88"
"8","42.4901234600","-112.4263550000","7","44.5711347500","-112.0762670000","87"
"8","42.4901234600","-112.4263550000","5","43.2512624100","-118.1948920000","85"
"9","46.1799145000","-112.9652400000","100","49.7935887700","-124.9183430000","9100"
"9","46.1799145000","-112.9652400000","98","50.1222464700","-125.0564740000","998"
"9","46.1799145000","-112.9652400000","97","50.4604304800","-124.1467120000","997"
"9","46.1799145000","-112.9652400000","96","50.9129302100","-122.3986340000","996"
"9","46.1799145000","-112.9652400000","95","50.7462197800","-121.4269500000","995"
"9","46.1799145000","-112.9652400000","94","48.6571158800","-123.5175320000","994"
"9","46.1799145000","-112.9652400000","93","49.4382733100","-124.2224790000","993"
"9","46.1799145000","-112.9652400000","92","49.8764835700","-123.4365590000","992"
"9","46.1799145000","-112.9652400000","89","49.6359785200","-117.9795440000","989"
"9","46.1799145000","-112.9652400000","88","48.9870156000","-119.3551630000","988"
"9","46.1799145000","-112.9652400000","86","48.7950688200","-124.0395790000","986"
"9","46.1799145000","-112.9652400000","85","48.4248857400","-117.7738870000","985"
"9","46.1799145000","-112.9652400000","84","47.7622123300","-117.8607200000","984"
"9","46.1799145000","-112.9652400000","83","47.3828889300","-116.5125230000","983"
"9","46.1799145000","-112.9652400000","81","47.3143365100","-120.6896500000","981"
"9","46.1799145000","-112.9652400000","57","44.7756118200","-123.8522020000","957"
"9","46.1799145000","-112.9652400000","56","45.1914965100","-123.7448030000","956"
"9","46.1799145000","-112.9652400000","41","46.2396430700","-122.0994960000","941"
"9","46.1799145000","-112.9652400000","40","47.2936767900","-123.1816370000","940"
"9","46.1799145000","-112.9652400000","39","47.0224387800","-123.5006580000","939"
"9","46.1799145000","-112.9652400000","38","46.7104448000","-123.8730830000","938"
"9","46.1799145000","-112.9652400000","35","47.0772485300","-123.9686490000","935"
"9","46.1799145000","-112.9652400000","34","47.3850263800","-124.0754580000","934"
"9","46.1799145000","-112.9652400000","32","47.9401508000","-123.7297350000","932"
"9","46.1799145000","-112.9652400000","31","47.8263151600","-122.9132100000","931"
"9","46.1799145000","-112.9652400000","30","46.8453611100","-122.7796990000","930"
"9","46.1799145000","-112.9652400000","29","47.1531389600","-122.2906270000","929"
"9","46.1799145000","-112.9652400000","28","47.4552952900","-122.1866290000","928"
"9","46.1799145000","-112.9652400000","27","47.6295622000","-122.2540880000","927"
"9","46.1799145000","-112.9652400000","26","47.1728142600","-121.6132350000","926"
"9","46.1799145000","-112.9652400000","25","47.5874008500","-121.4825350000","925"
"9","46.1799145000","-112.9652400000","24","47.8502065900","-121.9210130000","924"
"9","46.1799145000","-112.9652400000","23","48.6554883500","-122.5674870000","923"
"9","46.1799145000","-112.9652400000","22","48.3139814300","-122.0222000000","922"
"9","46.1799145000","-112.9652400000","21","48.5079236300","-122.3594910000","921"
"9","46.1799145000","-112.9652400000","20","48.7974315600","-121.9870660000","920"
"9","46.1799145000","-112.9652400000","19","48.9196994700","-122.6644580000","919"
"9","46.1799145000","-112.9652400000","18","49.1979643700","-122.1332250000","918"
"9","46.1799145000","-112.9652400000","14","46.9711424700","-119.8572150000","914"
"9","46.1799145000","-112.9652400000","11","48.0701482900","-119.0224200000","911"
