source,target,flow,source_lat,source_lon,target_lat,target_lon,source_num
37189,41003,-22,36.2309,-81.6961,44.4917,-123.4285,41003
38027,41003,-13,47.7175,-98.9018,44.4917,-123.4285,41003
39049,41003,-9,39.9693,-83.0091,44.4917,-123.4285,41003
39133,41003,-35,41.1679,-81.1974,44.4917,-123.4285,41003
41005,41003,-323,45.1879,-122.2203,44.4917,-123.4285,41003
41009,41003,-11,45.9437,-123.0891,44.4917,-123.4285,41003
41011,41003,-96,43.1742,-124.0597,44.4917,-123.4285,41003
41017,41003,-266,43.9146,-121.2269,44.4917,-123.4285,41003
41019,41003,-47,43.2795,-123.1666,44.4917,-123.4285,41003
41027,41003,-62,45.5193,-121.6514,44.4917,-123.4285,41003
41029,41003,-165,42.4321,-122.7283,44.4917,-123.4285,41003
41031,41003,-25,44.6294,-121.1764,44.4917,-123.4285,41003
41033,41003,-82,42.3652,-123.5556,44.4917,-123.4285,41003
41037,41003,-9,42.793,-120.3872,44.4917,-123.4285,41003
41039,41003,-445,43.9386,-122.8473,44.4917,-123.4285,41003
41041,41003,-76,44.6418,-123.8681,44.4917,-123.4285,41003
41043,41003,"-1,699",44.4887,-122.5341,44.4917,-123.4285,41003
41045,41003,-42,43.1935,-117.6231,44.4917,-123.4285,41003
41047,41003,-238,44.9032,-122.5846,44.4917,-123.4285,41003
41049,41003,-11,45.4193,-119.5848,44.4917,-123.4285,41003
41051,41003,-726,45.5465,-122.4147,44.4917,-123.4285,41003
41053,41003,-115,44.9035,-123.4131,44.4917,-123.4285,41003
41055,41003,-2,45.4052,-120.6894,44.4917,-123.4285,41003
41057,41003,-145,45.4634,-123.7128,44.4917,-123.4285,41003
41059,41003,-9,45.5916,-118.7366,44.4917,-123.4285,41003
41061,41003,-13,45.3105,-118.009,44.4917,-123.4285,41003
41063,41003,-28,45.5798,-117.1809,44.4917,-123.4285,41003
41067,41003,-953,45.5598,-123.0983,44.4917,-123.4285,41003
41069,41003,-12,44.7262,-120.0277,44.4917,-123.4285,41003
41071,41003,-94,45.2326,-123.3078,44.4917,-123.4285,41003
42029,41003,-110,39.9733,-75.7484,44.4917,-123.4285,41003
42041,41003,-4,40.1635,-77.2653,44.4917,-123.4285,41003
42045,41003,-10,39.9167,-75.3992,44.4917,-123.4285,41003
42095,41003,-46,40.7545,-75.3075,44.4917,-123.4285,41003
44003,41003,-32,41.672,-71.593,44.4917,-123.4285,41003
44009,41003,-13,41.4694,-71.6233,44.4917,-123.4285,41003
45003,41003,-6,33.5441,-81.6348,44.4917,-123.4285,41003
45015,41003,-40,33.1976,-79.9509,44.4917,-123.4285,41003
47141,41003,-19,36.1408,-85.4963,44.4917,-123.4285,41003
48029,41003,-18,29.4491,-98.5202,44.4917,-123.4285,41003
48045,41003,-5,34.5303,-101.2085,44.4917,-123.4285,41003
48201,41003,-14,29.8575,-95.393,44.4917,-123.4285,41003
48367,41003,-67,32.7776,-97.805,44.4917,-123.4285,41003
48453,41003,-8,30.3347,-97.7817,44.4917,-123.4285,41003
49035,41003,-24,40.6669,-111.9238,44.4917,-123.4285,41003
49049,41003,-40,40.1199,-111.6704,44.4917,-123.4285,41003
49053,41003,-10,37.2804,-113.5048,44.4917,-123.4285,41003
50025,41003,-6,42.9905,-72.7138,44.4917,-123.4285,41003
51059,41003,-69,38.8364,-77.2766,44.4917,-123.4285,41003
51680,41003,-12,37.4002,-79.1905,44.4917,-123.4285,41003
51700,41003,-34,37.1047,-76.5197,44.4917,-123.4285,41003
53005,41003,-18,46.2396,-119.5112,44.4917,-123.4285,41003
53007,41003,-11,47.8692,-120.6189,44.4917,-123.4285,41003
53011,41003,-47,45.7793,-122.4826,44.4917,-123.4285,41003
53015,41003,-15,46.1935,-122.6809,44.4917,-123.4285,41003
53025,41003,-47,47.2056,-119.4516,44.4917,-123.4285,41003
53027,41003,-15,47.1498,-123.7732,44.4917,-123.4285,41003
53033,41003,-166,47.49,-121.8065,44.4917,-123.4285,41003
53035,41003,-66,47.6134,-122.6734,44.4917,-123.4285,41003
53053,41003,-5,47.0267,-122.1116,44.4917,-123.4285,41003
53055,41003,-6,48.5786,-122.9535,44.4917,-123.4285,41003
53061,41003,-54,48.0476,-121.6979,44.4917,-123.4285,41003
53063,41003,-21,47.6207,-117.404,44.4917,-123.4285,41003
53071,41003,-25,46.2297,-118.4786,44.4917,-123.4285,41003
53075,41003,-2,46.9013,-117.523,44.4917,-123.4285,41003
53077,41003,-32,46.4568,-120.7387,44.4917,-123.4285,41003
55025,41003,-19,43.0674,-89.4177,44.4917,-123.4285,41003
55109,41003,-38,45.0333,-92.4529,44.4917,-123.4285,41003
55115,41003,-3,44.7889,-88.7649,44.4917,-123.4285,41003
1045,41005,-31,31.4317,-85.6111,45.1879,-122.2203,41005
1095,41005,-3,34.367,-86.3061,45.1879,-122.2203,41005
2020,41005,-28,61.1504,-149.1125,45.1879,-122.2203,41005
2070,41005,-8,59.7983,-158.2142,45.1879,-122.2203,41005
2090,41005,-57,64.8078,-146.5622,45.1879,-122.2203,41005
2130,41005,-4,55.5867,-130.937,45.1879,-122.2203,41005
2170,41005,-10,62.3158,-149.5715,45.1879,-122.2203,41005
4005,41005,-16,35.8387,-111.7705,45.1879,-122.2203,41005
4013,41005,-289,33.3487,-112.4911,45.1879,-122.2203,41005
4015,41005,-30,35.7046,-113.7582,45.1879,-122.2203,41005
4019,41005,-75,32.0975,-111.7895,45.1879,-122.2203,41005
4021,41005,-54,32.9047,-111.3447,45.1879,-122.2203,41005
4025,41005,-155,34.5997,-112.5538,45.1879,-122.2203,41005
4027,41005,-19,32.7693,-113.9058,45.1879,-122.2203,41005
6001,41005,-26,37.6464,-121.8886,45.1879,-122.2203,41005
6013,41005,-20,37.9193,-121.9281,45.1879,-122.2203,41005
6023,41005,-15,40.6993,-123.8756,45.1879,-122.2203,41005
6037,41005,-131,34.3213,-118.2247,45.1879,-122.2203,41005
6049,41005,-26,41.5897,-120.7251,45.1879,-122.2203,41005
6053,41005,-178,36.2171,-121.2387,45.1879,-122.2203,41005
6059,41005,-68,33.7031,-117.7609,45.1879,-122.2203,41005
6061,41005,-141,39.0635,-120.7178,45.1879,-122.2203,41005
6065,41005,-61,33.7433,-115.994,45.1879,-122.2203,41005
6067,41005,-48,38.4488,-121.3445,45.1879,-122.2203,41005
6071,41005,-61,34.8416,-116.1786,45.1879,-122.2203,41005
6073,41005,-172,33.0339,-116.7354,45.1879,-122.2203,41005
6075,41005,-6,37.7567,-122.4397,45.1879,-122.2203,41005
6079,41005,-30,35.387,-120.4042,45.1879,-122.2203,41005
6081,41005,-14,37.423,-122.3289,45.1879,-122.2203,41005
6083,41005,-23,34.6714,-120.0151,45.1879,-122.2203,41005
6085,41005,-83,37.2318,-121.6952,45.1879,-122.2203,41005
6089,41005,-33,40.7639,-122.041,45.1879,-122.2203,41005
6093,41005,-4,41.5927,-122.5405,45.1879,-122.2203,41005
6097,41005,-32,38.5285,-122.8874,45.1879,-122.2203,41005
6103,41005,-23,40.1256,-122.2339,45.1879,-122.2203,41005
6111,41005,-35,34.4547,-119.0848,45.1879,-122.2203,41005
6113,41005,-7,38.6865,-121.9015,45.1879,-122.2203,41005
8005,41005,-20,39.6499,-104.3386,45.1879,-122.2203,41005
8013,41005,-94,40.0924,-105.3575,45.1879,-122.2203,41005
8031,41005,-17,39.7611,-104.8763,45.1879,-122.2203,41005
8041,41005,-32,38.8324,-104.5258,45.1879,-122.2203,41005
8045,41005,-3,39.5995,-107.9035,45.1879,-122.2203,41005
8059,41005,-16,39.5865,-105.2505,45.1879,-122.2203,41005
8069,41005,-19,40.6666,-105.4615,45.1879,-122.2203,41005
8077,41005,-2,39.0183,-108.4665,45.1879,-122.2203,41005
8085,41005,-17,38.4024,-108.2688,45.1879,-122.2203,41005
8089,41005,-4,37.9021,-103.7169,45.1879,-122.2203,41005
8121,41005,-6,39.9713,-103.2015,45.1879,-122.2203,41005
12011,41005,-24,26.1522,-80.4872,45.1879,-122.2203,41005
12033,41005,-18,30.668,-87.3629,45.1879,-122.2203,41005
12057,41005,-4,27.9292,-82.3089,45.1879,-122.2203,41005
12081,41005,-10,27.4717,-82.3157,45.1879,-122.2203,41005
12091,41005,-3,30.6911,-86.5922,45.1879,-122.2203,41005
12093,41005,-9,27.3866,-80.8885,45.1879,-122.2203,41005
12111,41005,-64,27.3775,-80.4711,45.1879,-122.2203,41005
12127,41005,-123,29.0584,-81.182,45.1879,-122.2203,41005
13051,41005,-23,32.0043,-81.1325,45.1879,-122.2203,41005
13077,41005,-46,33.3535,-84.7634,45.1879,-122.2203,41005
13261,41005,-42,32.0401,-84.1962,45.1879,-122.2203,41005
15001,41005,-3,19.6012,-155.5212,45.1879,-122.2203,41005
15003,41005,-77,21.4588,-157.9747,45.1879,-122.2203,41005
16001,41005,-141,43.4508,-116.2413,45.1879,-122.2203,41005
16013,41005,-8,43.4115,-113.9797,45.1879,-122.2203,41005
16049,41005,-3,45.8441,-115.4671,45.1879,-122.2203,41005
16055,41005,-87,47.6743,-116.7018,45.1879,-122.2203,41005
16057,41005,-5,46.8156,-116.7116,45.1879,-122.2203,41005
16065,41005,-5,43.7843,-111.6604,45.1879,-122.2203,41005
17019,41005,-20,40.1398,-88.1995,45.1879,-122.2203,41005
17031,41005,-60,41.8401,-87.817,45.1879,-122.2203,41005
17097,41005,-44,42.3232,-88.0037,45.1879,-122.2203,41005
17163,41005,-30,38.4703,-89.9285,45.1879,-122.2203,41005
18105,41005,-10,39.161,-86.5233,45.1879,-122.2203,41005
19125,41005,-15,41.3345,-93.0993,45.1879,-122.2203,41005
20049,41005,-4,37.4534,-96.2437,45.1879,-122.2203,41005
20079,41005,-10,38.0432,-97.4273,45.1879,-122.2203,41005
20137,41005,-1,39.7845,-99.9028,45.1879,-122.2203,41005
20173,41005,-9,37.6845,-97.4608,45.1879,-122.2203,41005
20183,41005,-1,39.7852,-98.7857,45.1879,-122.2203,41005
21015,41005,-10,38.9698,-84.7279,45.1879,-122.2203,41005
21037,41005,-14,38.9466,-84.3792,45.1879,-122.2203,41005
21081,41005,-14,38.6491,-84.6241,45.1879,-122.2203,41005
21093,41005,-6,37.6985,-85.9636,45.1879,-122.2203,41005
