target,source,flow,source_lat,source_lon,target_lat,target_lon
53053,2110,29,58.4509,-134.1764,47.0267,-122.1116
53061,2110,127,58.4509,-134.1764,48.0476,-121.6979
53063,2110,14,58.4509,-134.1764,47.6207,-117.404
53067,2110,13,58.4509,-134.1764,46.9268,-122.8328
53073,2110,46,58.4509,-134.1764,48.8256,-121.7206
41029,2122,22,60.2538,-151.5612,42.4321,-122.7283
41051,2122,4,60.2538,-151.5612,45.5465,-122.4147
41059,2122,115,60.2538,-151.5612,45.5916,-118.7366
41061,2122,4,60.2538,-151.5612,45.3105,-118.009
41067,2122,78,60.2538,-151.5612,45.5598,-123.0983
16001,2122,49,60.2538,-151.5612,43.4508,-116.2413
16049,2122,4,60.2538,-151.5612,45.8441,-115.4671
16055,2122,92,60.2538,-151.5612,47.6743,-116.7018
16079,2122,4,60.2538,-151.5612,47.3532,-115.8925
16085,2122,46,60.2538,-151.5612,44.7664,-115.5665
53011,2122,12,60.2538,-151.5612,45.7793,-122.4826
53015,2122,52,60.2538,-151.5612,46.1935,-122.6809
53033,2122,44,60.2538,-151.5612,47.49,-121.8065
53053,2122,88,60.2538,-151.5612,47.0267,-122.1116
53055,2122,4,60.2538,-151.5612,48.5786,-122.9535
53057,2122,19,60.2538,-151.5612,48.4795,-121.7327
53061,2122,16,60.2538,-151.5612,48.0476,-121.6979
53065,2122,20,60.2538,-151.5612,48.3989,-117.8551
53073,2122,7,60.2538,-151.5612,48.8256,-121.7206
53077,2122,12,60.2538,-151.5612,46.4568,-120.7387
41003,2130,22,55.5867,-130.937,44.4917,-123.4285
41029,2130,46,55.5867,-130.937,42.4321,-122.7283
41057,2130,10,55.5867,-130.937,45.4634,-123.7128
41059,2130,60,55.5867,-130.937,45.5916,-118.7366
53027,2130,29,55.5867,-130.937,47.1498,-123.7732
53029,2130,10,55.5867,-130.937,48.1638,-122.5494
53035,2130,22,55.5867,-130.937,47.6134,-122.6734
53049,2130,12,55.5867,-130.937,46.5553,-123.7047
53053,2130,10,55.5867,-130.937,47.0267,-122.1116
53057,2130,2,55.5867,-130.937,48.4795,-121.7327
41007,2150,31,57.6665,-153.775,45.9948,-123.6562
41023,2150,5,57.6665,-153.775,44.4913,-119.0073
41029,2150,10,57.6665,-153.775,42.4321,-122.7283
41039,2150,107,57.6665,-153.775,43.9386,-122.8473
41051,2150,7,57.6665,-153.775,45.5465,-122.4147
16005,2150,44,57.6665,-153.775,42.6683,-112.2244
53011,2150,38,57.6665,-153.775,45.7793,-122.4826
53025,2150,1,57.6665,-153.775,47.2056,-119.4516
53033,2150,52,57.6665,-153.775,47.49,-121.8065
53035,2150,76,57.6665,-153.775,47.6134,-122.6734
53057,2150,8,57.6665,-153.775,48.4795,-121.7327
41005,2170,19,62.3158,-149.5715,45.1879,-122.2203
41007,2170,7,62.3158,-149.5715,45.9948,-123.6562
41009,2170,22,62.3158,-149.5715,45.9437,-123.0891
41013,2170,30,62.3158,-149.5715,44.1422,-120.356
41017,2170,141,62.3158,-149.5715,43.9146,-121.2269
41019,2170,22,62.3158,-149.5715,43.2795,-123.1666
41029,2170,18,62.3158,-149.5715,42.4321,-122.7283
41031,2170,6,62.3158,-149.5715,44.6294,-121.1764
41033,2170,63,62.3158,-149.5715,42.3652,-123.5556
41039,2170,22,62.3158,-149.5715,43.9386,-122.8473
41045,2170,5,62.3158,-149.5715,43.1935,-117.6231
41051,2170,24,62.3158,-149.5715,45.5465,-122.4147
41061,2170,5,62.3158,-149.5715,45.3105,-118.009
41067,2170,15,62.3158,-149.5715,45.5598,-123.0983
16001,2170,38,62.3158,-149.5715,43.4508,-116.2413
16017,2170,14,62.3158,-149.5715,48.3001,-116.6014
16055,2170,4,62.3158,-149.5715,47.6743,-116.7018
16057,2170,6,62.3158,-149.5715,46.8156,-116.7116
16065,2170,136,62.3158,-149.5715,43.7843,-111.6604
53029,2170,61,62.3158,-149.5715,48.1638,-122.5494
53033,2170,14,62.3158,-149.5715,47.49,-121.8065
53037,2170,6,62.3158,-149.5715,47.1245,-120.6796
53041,2170,8,62.3158,-149.5715,46.5775,-122.3919
53053,2170,3,62.3158,-149.5715,47.0267,-122.1116
53057,2170,2,62.3158,-149.5715,48.4795,-121.7327
53061,2170,32,62.3158,-149.5715,48.0476,-121.6979
53063,2170,20,62.3158,-149.5715,47.6207,-117.404
53073,2170,16,62.3158,-149.5715,48.8256,-121.7206
41067,2180,17,64.9106,-164.0344,45.5598,-123.0983
16027,2180,218,64.9106,-164.0344,43.6249,-116.7093
16045,2180,37,64.9106,-164.0344,44.0606,-116.3981
53037,2180,29,64.9106,-164.0344,47.1245,-120.6796
16055,2185,4,69.3134,-153.477,47.6743,-116.7018
41051,2188,25,67.053,-159.7223,45.5465,-122.4147
41005,2195,56,57.1199,-132.9334,45.1879,-122.2203
41039,2195,12,57.1199,-132.9334,43.9386,-122.8473
53033,2195,32,57.1199,-132.9334,47.49,-121.8065
41039,2220,5,57.2339,-135.3152,43.9386,-122.8473
41047,2220,33,57.2339,-135.3152,44.9032,-122.5846
41051,2220,14,57.2339,-135.3152,45.5465,-122.4147
16001,2220,23,57.2339,-135.3152,43.4508,-116.2413
53003,2220,11,57.2339,-135.3152,46.1918,-117.2027
53011,2220,4,57.2339,-135.3152,45.7793,-122.4826
53053,2220,13,57.2339,-135.3152,47.0267,-122.1116
53063,2220,23,57.2339,-135.3152,47.6207,-117.404
53009,2240,17,63.8769,-143.2065,48.0491,-123.9274
53027,2240,25,63.8769,-143.2065,47.1498,-123.7732
53031,2240,32,63.8769,-143.2065,47.749,-123.5939
53045,2240,69,63.8769,-143.2065,47.348,-123.1921
53047,2240,2,63.8769,-143.2065,48.5488,-119.7408
41015,2261,28,61.5501,-144.5035,42.4576,-124.1563
41051,2261,18,61.5501,-144.5035,45.5465,-122.4147
16039,2261,16,61.5501,-144.5035,43.3538,-115.4695
16049,2261,12,61.5501,-144.5035,45.8441,-115.4671
53017,2261,2,61.5501,-144.5035,47.7363,-119.6915
53057,2261,32,61.5501,-144.5035,48.4795,-121.7327
53067,2261,94,61.5501,-144.5035,46.9268,-122.8328
53075,2261,8,61.5501,-144.5035,46.9013,-117.523
41005,2275,34,56.3254,-132.031,45.1879,-122.2203
41029,2275,26,56.3254,-132.031,42.4321,-122.7283
41039,2275,3,56.3254,-132.031,43.9386,-122.8473
41047,2275,37,56.3254,-132.031,44.9032,-122.5846
16049,2275,10,56.3254,-132.031,45.8441,-115.4671
53065,2275,6,56.3254,-132.031,48.3989,-117.8551
41005,4001,4,35.3954,-109.4888,45.1879,-122.2203
41053,4001,11,35.3954,-109.4888,44.9035,-123.4131
16065,4001,33,35.3954,-109.4888,43.7843,-111.6604
41005,4003,14,31.8792,-109.7511,45.1879,-122.2203
41029,4003,29,31.8792,-109.7511,42.4321,-122.7283
41051,4003,33,31.8792,-109.7511,45.5465,-122.4147
16001,4003,110,31.8792,-109.7511,43.4508,-116.2413
16015,4003,15,31.8792,-109.7511,43.9891,-115.7302
16017,4003,65,31.8792,-109.7511,48.3001,-116.6014
16027,4003,25,31.8792,-109.7511,43.6249,-116.7093
16065,4003,7,31.8792,-109.7511,43.7843,-111.6604
16075,4003,13,31.8792,-109.7511,44.0068,-116.7605
53033,4003,13,31.8792,-109.7511,47.49,-121.8065
53053,4003,33,31.8792,-109.7511,47.0267,-122.1116
53061,4003,7,31.8792,-109.7511,48.0476,-121.6979
53063,4003,24,31.8792,-109.7511,47.6207,-117.404
53067,4003,63,31.8792,-109.7511,46.9268,-122.8328
53075,4003,26,31.8792,-109.7511,46.9013,-117.523
41003,4005,28,35.8387,-111.7705,44.4917,-123.4285
41047,4005,15,35.8387,-111.7705,44.9032,-122.5846
41051,4005,49,35.8387,-111.7705,45.5465,-122.4147
41067,4005,27,35.8387,-111.7705,45.5598,-123.0983
16001,4005,40,35.8387,-111.7705,43.4508,-116.2413
16009,4005,9,35.8387,-111.7705,47.2169,-116.6588
16019,4005,6,35.8387,-111.7705,43.388,-111.6148
16029,4005,1,35.8387,-111.7705,42.7706,-111.5624
16031,4005,99,35.8387,-111.7705,42.2838,-113.6012
16079,4005,20,35.8387,-111.7705,47.3532,-115.8925
16081,4005,10,35.8387,-111.7705,43.7599,-111.2078
53009,4005,4,35.8387,-111.7705,48.0491,-123.9274
53011,4005,1,35.8387,-111.7705,45.7793,-122.4826
53029,4005,29,35.8387,-111.7705,48.1638,-122.5494
53033,4005,144,35.8387,-111.7705,47.49,-121.8065
53035,4005,9,35.8387,-111.7705,47.6134,-122.6734
53045,4005,15,35.8387,-111.7705,47.348,-123.1921
53053,4005,17,35.8387,-111.7705,47.0267,-122.1116
53061,4005,60,35.8387,-111.7705,48.0476,-121.6979
53065,4005,4,35.8387,-111.7705,48.3989,-117.8551
53067,4005,19,35.8387,-111.7705,46.9268,-122.8328
53075,4005,17,35.8387,-111.7705,46.9013,-117.523
53077,4005,60,35.8387,-111.7705,46.4568,-120.7387
41039,4007,39,33.7999,-110.8118,43.9386,-122.8473
41047,4007,102,33.7999,-110.8118,44.9032,-122.5846
53011,4007,20,33.7999,-110.8118,45.7793,-122.4826
53029,4007,50,33.7999,-110.8118,48.1638,-122.5494
53033,4007,10,33.7999,-110.8118,47.49,-121.8065
53047,4007,12,33.7999,-110.8118,48.5488,-119.7408
41055,4009,4,32.9324,-109.8873,45.4052,-120.6894
16043,4009,4,32.9324,-109.8873,44.229,-111.4821
16083,4009,27,32.9324,-109.8873,42.3562,-114.6682
16085,4009,1,32.9324,-109.8873,44.7664,-115.5665
53063,4009,13,32.9324,-109.8873,47.6207,-117.404
53031,4011,6,33.2154,-109.2402,47.749,-123.5939
53063,4011,6,33.2154,-109.2402,47.6207,-117.404
16011,4012,3,33.7292,-113.9812,43.2165,-112.3979
41003,4013,168,33.3487,-112.4911,44.4917,-123.4285
41005,4013,550,33.3487,-112.4911,45.1879,-122.2203
41011,4013,20,33.3487,-112.4911,43.1742,-124.0597
41013,4013,57,33.3487,-112.4911,44.1422,-120.356
41015,4013,15,33.3487,-112.4911,42.4576,-124.1563
41017,4013,157,33.3487,-112.4911,43.9146,-121.2269
41019,4013,80,33.3487,-112.4911,43.2795,-123.1666
41025,4013,12,33.3487,-112.4911,43.0641,-118.9678
41029,4013,20,33.3487,-112.4911,42.4321,-122.7283
41031,4013,11,33.3487,-112.4911,44.6294,-121.1764
41033,4013,54,33.3487,-112.4911,42.3652,-123.5556
41035,4013,31,33.3487,-112.4911,42.6863,-121.65
41039,4013,211,33.3487,-112.4911,43.9386,-122.8473
41041,4013,115,33.3487,-112.4911,44.6418,-123.8681
41043,4013,8,33.3487,-112.4911,44.4887,-122.5341
41047,4013,124,33.3487,-112.4911,44.9032,-122.5846
41049,4013,28,33.3487,-112.4911,45.4193,-119.5848
41051,4013,1196,33.3487,-112.4911,45.5465,-122.4147
41053,4013,22,33.3487,-112.4911,44.9035,-123.4131
41057,4013,21,33.3487,-112.4911,45.4634,-123.7128
41059,4013,33,33.3487,-112.4911,45.5916,-118.7366
41067,4013,1187,33.3487,-112.4911,45.5598,-123.0983
41071,4013,180,33.3487,-112.4911,45.2326,-123.3078
16001,4013,303,33.3487,-112.4911,43.4508,-116.2413
16005,4013,80,33.3487,-112.4911,42.6683,-112.2244
16009,4013,3,33.3487,-112.4911,47.2169,-116.6588
16013,4013,42,33.3487,-112.4911,43.4115,-113.9797
16015,4013,4,33.3487,-112.4911,43.9891,-115.7302
16017,4013,19,33.3487,-112.4911,48.3001,-116.6014
16019,4013,368,33.3487,-112.4911,43.388,-111.6148
16023,4013,3,33.3487,-112.4911,43.7226,-113.1721
16027,4013,98,33.3487,-112.4911,43.6249,-116.7093
16035,4013,2,33.3487,-112.4911,46.6736,-115.6564
16037,4013,6,33.3487,-112.4911,44.2414,-114.2816
16039,4013,66,33.3487,-112.4911,43.3538,-115.4695
16041,4013,4,33.3487,-112.4911,42.1812,-111.8132
16045,4013,20,33.3487,-112.4911,44.0606,-116.3981
16051,4013,1,33.3487,-112.4911,43.8203,-112.312
16055,4013,94,33.3487,-112.4911,47.6743,-116.7018
16057,4013,129,33.3487,-112.4911,46.8156,-116.7116
16059,4013,1,33.3487,-112.4911,44.9436,-113.9336
16065,4013,372,33.3487,-112.4911,43.7843,-111.6604
16067,4013,3,33.3487,-112.4911,42.8542,-113.6376
16075,4013,69,33.3487,-112.4911,44.0068,-116.7605
16077,4013,2,33.3487,-112.4911,42.6932,-112.8399
16081,4013,12,33.3487,-112.4911,43.7599,-111.2078
16085,4013,36,33.3487,-112.4911,44.7664,-115.5665
53001,4013,6,33.3487,-112.4911,46.9837,-118.5604
53003,4013,24,33.3487,-112.4911,46.1918,-117.2027
53005,4013,108,33.3487,-112.4911,46.2396,-119.5112
53007,4013,45,33.3487,-112.4911,47.8692,-120.6189
53011,4013,633,33.3487,-112.4911,45.7793,-122.4826
53015,4013,62,33.3487,-112.4911,46.1935,-122.6809
53021,4013,12,33.3487,-112.4911,46.535,-118.8986
53023,4013,13,33.3487,-112.4911,46.4327,-117.5449
53025,4013,1,33.3487,-112.4911,47.2056,-119.4516
53027,4013,63,33.3487,-112.4911,47.1498,-123.7732
53029,4013,7,33.3487,-112.4911,48.1638,-122.5494
53031,4013,2,33.3487,-112.4911,47.749,-123.5939
53033,4013,"2,905",33.3487,-112.4911,47.49,-121.8065
53035,4013,87,33.3487,-112.4911,47.6134,-122.6734
53043,4013,2,33.3487,-112.4911,47.5763,-118.4187
53045,4013,45,33.3487,-112.4911,47.348,-123.1921
53047,4013,5,33.3487,-112.4911,48.5488,-119.7408
53051,4013,8,33.3487,-112.4911,48.5324,-117.2739
53053,4013,687,33.3487,-112.4911,47.0267,-122.1116
53057,4013,60,33.3487,-112.4911,48.4795,-121.7327
53061,4013,314,33.3487,-112.4911,48.0476,-121.6979
53063,4013,524,33.3487,-112.4911,47.6207,-117.404
53065,4013,1,33.3487,-112.4911,48.3989,-117.8551
53067,4013,95,33.3487,-112.4911,46.9268,-122.8328
53073,4013,55,33.3487,-112.4911,48.8256,-121.7206
53075,4013,11,33.3487,-112.4911,46.9013,-117.523
53077,4013,105,33.3487,-112.4911,46.4568,-120.7387
41005,4015,77,35.7046,-113.7582,45.1879,-122.2203
41019,4015,33,35.7046,-113.7582,43.2795,-123.1666
41025,4015,3,35.7046,-113.7582,43.0641,-118.9678
41029,4015,38,35.7046,-113.7582,42.4321,-122.7283
41033,4015,14,35.7046,-113.7582,42.3652,-123.5556
41035,4015,12,35.7046,-113.7582,42.6863,-121.65
41041,4015,23,35.7046,-113.7582,44.6418,-123.8681
41043,4015,23,35.7046,-113.7582,44.4887,-122.5341
41047,4015,30,35.7046,-113.7582,44.9032,-122.5846
41049,4015,4,35.7046,-113.7582,45.4193,-119.5848
41051,4015,118,35.7046,-113.7582,45.5465,-122.4147
41053,4015,108,35.7046,-113.7582,44.9035,-123.4131
41067,4015,107,35.7046,-113.7582,45.5598,-123.0983
16001,4015,16,35.7046,-113.7582,43.4508,-116.2413
16005,4015,7,35.7046,-113.7582,42.6683,-112.2244
16027,4015,14,35.7046,-113.7582,43.6249,-116.7093
16039,4015,5,35.7046,-113.7582,43.3538,-115.4695
16043,4015,9,35.7046,-113.7582,44.229,-111.4821
16067,4015,7,35.7046,-113.7582,42.8542,-113.6376
16069,4015,23,35.7046,-113.7582,46.327,-116.7499
16083,4015,9,35.7046,-113.7582,42.3562,-114.6682
53011,4015,11,35.7046,-113.7582,45.7793,-122.4826
53027,4015,122,35.7046,-113.7582,47.1498,-123.7732
53031,4015,72,35.7046,-113.7582,47.749,-123.5939
53033,4015,117,35.7046,-113.7582,47.49,-121.8065
53041,4015,2,35.7046,-113.7582,46.5775,-122.3919
53049,4015,11,35.7046,-113.7582,46.5553,-123.7047
53053,4015,11,35.7046,-113.7582,47.0267,-122.1116
53057,4015,4,35.7046,-113.7582,48.4795,-121.7327
53061,4015,82,35.7046,-113.7582,48.0476,-121.6979
53063,4015,30,35.7046,-113.7582,47.6207,-117.404
41009,4017,23,35.3998,-110.3214,45.9437,-123.0891
41067,4017,21,35.3998,-110.3214,45.5598,-123.0983
16001,4017,4,35.3998,-110.3214,43.4508,-116.2413
16011,4017,9,35.3998,-110.3214,43.2165,-112.3979
16055,4017,27,35.3998,-110.3214,47.6743,-116.7018
16063,4017,3,35.3998,-110.3214,43.0023,-114.1384
16065,4017,2,35.3998,-110.3214,43.7843,-111.6604
53009,4017,33,35.3998,-110.3214,48.0491,-123.9274
53033,4017,21,35.3998,-110.3214,47.49,-121.8065
53057,4017,2,35.3998,-110.3214,48.4795,-121.7327
53061,4017,41,35.3998,-110.3214,48.0476,-121.6979
53063,4017,13,35.3998,-110.3214,47.6207,-117.404
41003,4019,26,32.0975,-111.7895,44.4917,-123.4285
41005,4019,70,32.0975,-111.7895,45.1879,-122.2203
41017,4019,13,32.0975,-111.7895,43.9146,-121.2269
41019,4019,15,32.0975,-111.7895,43.2795,-123.1666
41029,4019,5,32.0975,-111.7895,42.4321,-122.7283
41035,4019,38,32.0975,-111.7895,42.6863,-121.65
41039,4019,131,32.0975,-111.7895,43.9386,-122.8473
